tokens,ner_tags,keyword
"shadow leader of the commons oliver heal ##d said : "" this will be part of our aim to reduce unnecessary and costly interference in people ' s lives by reducing the size and role of the state "" .",O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"dr ##og ##ba , chelsea ' s £2 ##4 ##m striker , has missed the last three weeks through injury .",B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O,NONE
tara ##ntino ' to make friday sequel ',B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O,NONE
the best performance on the track for me was sarah cl ##ax ##ton ' s win in the 60 ##m hurdles .,O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O,NONE
diane allah ##gree ##n has been our best hurdle ##r for some time now and i think she was surprised to be beaten by sarah .,B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O B-ATHLETE O,NONE
"a lot of the athletes said the runway was not very helpful , so for phillips to jump like that is a good performance .",O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O,NONE
"yusuf , who came third in the 400 ##m , is from the sudan but is trying to gain british citizenship .",B-ATHLETE O O O O O O O O O O O O O O O O O O O O O,NONE
"a spokesman said president mu ##sha ##rra ##f ' s safety had not been compromised , as the papers had been handed in promptly .",O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O,NONE
gen mu ##sha ##rra ##f held talks with tony blair on monday .,O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O B-POLITICIAN I-POLITICIAN O O O,NONE
' my memories of marley . . . ',O O O O B-MUSICIAN O O O O,NONE
"accepting his best dramatic actor prize , di ##cap ##rio described director martin sc ##ors ##ese as "" one of the greatest contributors to the world of cinema of all time "" .",O O O O O O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O,NONE
"but mr blair had been "" hurt "" by the iraq controversy , he added .",O O B-POLITICIAN O O O O O O O O O O O O O,NONE
