sentence_id,sentence,ner_entities
politics_096.txt_237,"Shadow leader of the Commons Oliver Heald said: ""This will be part of our aim to reduce unnecessary and costly interference in people's lives by reducing the size and role of the State"".","[{""text"": ""Oliver Heald"", ""label"": ""POLITICIAN""}]"
sport_103.txt_170,"Drogba, Chelsea's £24m striker, has missed the last three weeks through injury.","[{""text"": ""Drogba"", ""label"": ""ATHLETE""}]"
entertainment_379.txt_0,Tarantino 'to make Friday sequel',"[{""text"": ""Tarantino"", ""label"": ""ACTOR-DIRECTOR""}]"
sport_059.txt_63,The best performance on the track for me was Sarah Claxton's win in the 60m hurdles.,"[{""text"": ""Sarah Claxton"", ""label"": ""ATHLETE""}]"
sport_059.txt_135,Diane Allahgreen has been our best hurdler for some time now and I think she was surprised to be beaten by Sarah.,"[{""text"": ""Diane Allahgreen"", ""label"": ""ATHLETE""}, {""text"": ""Sarah"", ""label"": ""ATHLETE""}]"
sport_059.txt_306,"A lot of the athletes said the runway was not very helpful, so for Phillips to jump like that is a good performance.","[{""text"": ""Phillips"", ""label"": ""ATHLETE""}]"
sport_059.txt_706,"Yusuf, who came third in the 400m, is from the Sudan but is trying to gain British citizenship.","[{""text"": ""Yusuf"", ""label"": ""ATHLETE""}]"
politics_188.txt_68,"A spokesman said President Musharraf's safety had not been compromised, as the papers had been handed in promptly.","[{""text"": ""Musharraf"", ""label"": ""POLITICIAN""}]"
politics_188.txt_179,Gen Musharraf held talks with Tony Blair on Monday.,"[{""text"": ""Musharraf"", ""label"": ""POLITICIAN""}, {""text"": ""Tony Blair"", ""label"": ""POLITICIAN""}]"
entertainment_120.txt_0,'My memories of Marley...',"[{""text"": ""Marley"", ""label"": ""MUSICIAN""}]"
entertainment_095.txt_142,"Accepting his best dramatic actor prize, DiCaprio described director Martin Scorsese as ""one of the greatest contributors to the world of cinema of all time"".","[{""text"": ""DiCaprio"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Martin Scorsese"", ""label"": ""ACTOR-DIRECTOR""}]"
politics_415.txt_241,"But Mr Blair had been ""hurt"" by the Iraq controversy, he added.","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_197.txt_0,Blair 'pressing US on climate',"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_197.txt_32,"

Officials have confirmed climate change was discussed when influential senator John McCain recently visited Mr Blair.","[{""text"": ""John McCain"", ""label"": ""POLITICIAN""}, {""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_197.txt_80,But he played down reports Mr Blair was considering a new US-friendly treaty.,"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_197.txt_209,President Bush's advisers have repeatedly denied global warming is taking place.,"[{""text"": ""Bush"", ""label"": ""POLITICIAN""}]"
politics_139.txt_73,Mr Straw said he hoped the agreement would make a difference to Kashmiris.,"[{""text"": ""Straw"", ""label"": ""POLITICIAN""}]"
politics_139.txt_224,"On Thursday Mr Straw was in India visiting Sikhism's holiest shrine, the Golden Temple in Amritsar where he tried his hand at making Indian bread or roti.","[{""text"": ""Straw"", ""label"": ""POLITICIAN""}]"
sport_039.txt_0,Jones medals 'must go if guilty',"[{""text"": ""Jones"", ""label"": ""ATHLETE""}]"
entertainment_094.txt_176,"The award-winning trilogy - Northern Lights, The Subtle Knife and The Amber Spyglass - tell the story of Oxford school child Lyra Belacqua.","[{""text"": ""Lyra Belacqua"", ""label"": ""PUBLIC-FIGURE""}]"
politics_268.txt_564,"For the Lib Dems, Simon Hughes said many pensioners are means tested for the money they needed and students who were told there wouldn't be tuition fees and more debt ""have been given exactly the opposite"".","[{""text"": ""Simon Hughes"", ""label"": ""POLITICIAN""}]"
politics_060.txt_357,Both the Cardinal and Archbishop of Canterbury Dr Rowan Williams appealed for the weapons inspectors to be given more time in Iraq before the war started.,"[{""text"": ""Rowan Williams"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_317.txt_0,Patti Smith to host arts festival,"[{""text"": ""Patti Smith"", ""label"": ""MUSICIAN""}]"
entertainment_133.txt_64,"Last year, Jackson exposed a breast during a dance routine, causing outrage among millions of TV viewers and landing the CBS TV network a fine.","[{""text"": ""Jackson"", ""label"": ""MUSICIAN""}]"
