sentence_id,tokens,ner_tags
018.txt_0,"Merritt close to indoor 400 m mark 

",B-ATHLETE O O O O O O O
018.txt_8,Teenager LaShawn Merritt ran the third fastest indoor 400 m of all time at the Fayetteville Invitational meeting .,O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O
018.txt_133,Lagat was on course to break El Guerrouj 's record through 1200 m but could not maintain the pace over the final 400 m.,B-ATHLETE O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O
083.txt_0,Johnson too strong for GB runners,B-ATHLETE O O O O O
083.txt_129,"Johnson , will be one of the star attractions at the Great EdinburghInternational Cross Country on 15 January .",B-ATHLETE O O O O O O O O O O O O O O O O O O
047.txt_6,Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics .,O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O
047.txt_287,"Kenteris , a Greek hero after winning gold in the 200 m at the 2000 Olympics in Sydney , also confirmed that he was due to light the flame at the Athens opening ceremony .",B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
088.txt_222,""" Victor Conte is a man facing a 42 - count federal indictment , while Marion Jones is one of America 's most decorated female athletes .",O B-ATHLETE I-ATHLETE O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O
088.txt_511,"Jones , who did not win any medals in Athens in August , has never failed a drugs test .",B-ATHLETE O O O O O O O O O O O O O O O O O O O
058.txt_6,Jason Gardener fought all the way to the line to narrowly claim the men 's 60 m title at the Norwich Union Indoor trials and AAAs Championships .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O
058.txt_362,"The Northern Ireland athlete went off at a startling pace but had to hold off the challenge of Welshman Jimmy Watkins over the final 200 m to win in one minute , 47.96 seconds .",O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O
058.txt_745,Commonwealth champion Morgan reached a personal best of 7.96 m on his very first jump and then promptly retired with a bruised heel .,O O B-ATHLETE O O O O O O O O O O O O O O O O O O O O O
002.txt_6,Sonia O'Sullivan has indicated that she would like to participate in next month 's World Cross Country Championships in St Etienne .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O
002.txt_81,O'Sullivan is at present preparing for the London marathon on 17 April .,B-ATHLETE O O O O O O O O O O O O
072.txt_90,"Kelly Holmes , former hurdler Alan Pascoe and former sprinter Frankie Fredericks - who is now an IOC member - all wanted to know why anyone would want to run that far .",B-ATHLETE I-ATHLETE O O O B-ATHLETE I-ATHLETE O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O
072.txt_571,This year Steve will donate all the proceeds from his London Marathon efforts to victims of the tsunami .,O O B-ATHLETE O O O O O O O O O O O O O O O O
072.txt_590,Steve will be writing a regular column on the ups and downs of his marathon training for the BBC Sport website .,B-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O
081.txt_6,The International Association of Athletics Federations will appeal against the acquittal of Greek athletes Kostas Kenteris and Katerina Thanou .,O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE O
081.txt_158,"Kenteris , who won Olympic 200 m gold at the 2000 Olympics , and Thanou were suspended by the IAAF last December after failing to take routine drugs tests before the Athens Games .",B-ATHLETE O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O O O O O O O O O O O
006.txt_6,Pole vaulter Yelena Isinbayeva broke her own indoor world record by clearing 4.89 metres in Lievin on Saturday .,O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O
021.txt_6,Kenya 's athletics body has suspended two - time London Marathon runner - up Susan Chepkemei from all competition until the end of the year .,O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O
021.txt_32,"

 Athletics Kenya ( AK ) issued the ban after Chepkemei failed to turn up for a cross country training camp in Embu .",O O O O O O O O O O B-ATHLETE O O O O O O O O O O O O O
041.txt_7,"American Olympic stars Justin Gatlin and Joanna Hayes have been named the winners of the 2004 Jesse Owens Awards , USA Track & Field 's ( USATF ) top honour .",O O O B-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O
041.txt_39,"Gatlin , 22 , won the closest 100 m final in Games history with a career - best time of 9.85 seconds in Athens .",B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O
041.txt_93,"Hayes , 27 , set an Olympic record of 12.37 in winning the 100 m hurdles .",B-ATHLETE O O O O O O O O O O O O O O O O
036.txt_45,"Jones , who says she is innocent , could lose all her Olympic medals after Conte said he gave her performance - enhancing drugs before the Sydney Olympics .",B-ATHLETE O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O O O O O
066.txt_33,"

 Kelly Holmes finally fulfilled her potential by storming to double gold on the track at the Olympic Games .",O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O
066.txt_99,"Holmes had started the year in disappointing style , falling over in the final of 1500 m at the World Indoor Championships where she was favourite .",B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O
066.txt_126,Her Olympic build - up was clouded by self doubt but that proved unfounded as she overhauled rival Maria Mutola to win the 800 m - her first global title .,O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O
066.txt_218,The 30 - year - old marathon world record holder went into the Athens event as favourite but an exhausted Radcliffe dropped out after 23 miles in tears .,O O O O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O
066.txt_388,"Gardener added the Olympic relay crown to his World Indoor title over 60 m and , just like Holmes , finally lived up to his promise in 2004 .",B-ATHLETE O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O O
066.txt_507,"The Athens Olympics proved to be a landmark occasion for Steve Backley , who retired from competition after finishing fourth in the javelin .",O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O
066.txt_579,The continued improvement of sprinter Abi Oyepitan and long jumper Chris Tomlinson also boosted Team GB .,O O O O O B-ATHLETE I-ATHLETE O O O B-ATHLETE I-ATHLETE O O O O O
066.txt_610,"On the eve of the Games , Greek sprinters Kostas Kenteris and Katerina Thanou missed a drugs test and claimed to have been involved in a road crash .",O O O O O O O O O B-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O
066.txt_663,"At the Games , Adrian Annus ( hammer ) , Robert Fazelas ( discus ) and Irina Korzhanenko ( shot ) were all stripped of their titles because of doping issues .",O O O O B-ATHLETE I-ATHLETE O O O O B-ATHLETE I-ATHLETE O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O
066.txt_769,"

 American Kelli White was suspended and stripped of her world 100 m and 200 m titles after failing a drugs test .",O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O
066.txt_812,Russian pole vaulter Yelena Isinbayeva provided some light relief by smashing the world record seven times on her way to the World Indoor and Olympic titles .,O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O
057.txt_7,"Last April , Kelly Holmes spoke to the BBC Sport website about her loneliness , her fight to stay fit and her decision not to contest both the 800 m and 1500 m at the Olympics .",O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
057.txt_166,"Holmes has now pulled out of this weekend 's European Indoor Championships , where she was selected for both the 800 m and 1500 m , because of a hamstring injury .",B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
057.txt_384,"US 400 m and 200 m legend Michael Johnson , a five - time Olympic gold medallist , retired shortly after his 34th birthday as did Britain 's double Olympic champion decathlete Daley Thompson .",O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O
057.txt_654,""" You do n't get the chance very often in your career to step onto the track as the double Olympic champion , "" agreed Cram .",O O O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE O
057.txt_740,"

 Athletics fans had every reason to believe they would see the new - look Kelly Holmes tearing up the track again .",O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O
057.txt_846,""" Kelly has to figure out for herself what it is she wants and that will be based on athletics decisions , whether she can be competitive , if she is fit enough to put her neck on the line .",O B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
042.txt_5,Paula Radcliffe made a triumphant return to competitive running with victory in the New York Marathon .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O
042.txt_105,Radcliffe decided only recently to run in the race and many had doubted whether she had sufficiently recovered from her Olympic ordeal just 11 weeks ago .,B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O
024.txt_7,Susan Chepkemei has decided she is fit enough to run in next month 's Great Edinburgh International Cross Country .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O
024.txt_28,The Kenyan was initially unsure if she would have recovered from her gruelling tussle with Paula Radcliffe in the New York Marathon in time to compete .,O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O
024.txt_55,But she has declared herself up to the task and joins a field headed by World cross country champion Benita Johnson .,O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O
063.txt_51,"But World Indoor 800 m record holder Ceplak said : "" There is never an easy race when she is in the field .",O O O O O O O B-ATHLETE O O O O O O O O O O O O O O O O
045.txt_311,Britain 's former European 100 m champion Dwain Chambers is currently serving a two - year ban after testing positive for THG in an out - of - competition test in 2003 .,O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O
055.txt_7,Kelly Holmes has been forced out of this weekend 's European Indoor Athletics Championships after picking up a hamstring injury during training .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O
076.txt_5,World 5000 m champion Eliud Kipchoge won the 9.2 km race at the View From Great Edinburgh Cross Country .,O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O
076.txt_225,But world 5000 m champion Dibaba make a telling strike for the finishing line in the final 20 metres .,O O O O O B-ATHLETE O O O O O O O O O O O O O O
011.txt_7,Paula Radcliffe has been granted extra time to decide whether to compete in the World Cross - Country Championships .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O
011.txt_198,Radcliffe was world cross - country champion in 2001 and 2002 but missed last year 's event because of injury .,B-ATHLETE O O O O O O O O O O O O O O O O O O O O
040.txt_0,"Radcliffe tackles marathon tasks 

",B-ATHLETE O O O O
040.txt_5,Paula Radcliffe faces arguably the biggest test of her career in the New York City Marathon on Sunday .,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O
