sentence_id,tokens,ner_tags
404.txt_203,Labour election coordinator Alan Milburn claimed Mr Kruger had exposed the Tory agenda for £ 35bn of cuts to public services .,O O O B-POLITICIAN I-POLITICIAN O O B-POLITICIAN O O O O O O O O O O O O O O
307.txt_0,"Carry On star Patsy Rowlands dies 

 Actress Patsy Rowlands , known to millions for her roles in the Carry On films , has died at the age of 71 .",O O O B-TV-FILM-PERSONALITY I-TV-FILM-PERSONALITY O O O B-TV-FILM-PERSONALITY I-TV-FILM-PERSONALITY O O O O O O O O O O O O O O O O O O O O O
307.txt_117,"After spending several years at the Players Theatre in London , she made her film debut in 1963 in Tom Jones , directed by Tony Richardson .",O O O O O O O O O O O O O O O O O O O O O O O O B-TV-FILM-PERSONALITY I-TV-FILM-PERSONALITY O
307.txt_208,In recent years she appeared in BBC mini - series The Cazalets and played Mrs Potts in the London stage version of Beauty and the Beast .,O O O O O O O O O O O O O O O B-TV-FILM-PERSONALITY O O O O O O O O O O O
213.txt_115,""" At the beginning there was an absolute explosion - huge , huge crowds , "" Sergio Gera , the programme 's chief co - ordinator , told BBC World Service 's Assignment programme .",O O O O O O O O O O O O O O O O B-TV-FILM-PERSONALITY I-TV-FILM-PERSONALITY O O O O O O O O O O O O O O O O O
006.txt_359,"It is a precious element in Peru 's coastal areas , because it is so scarce , and therefore it is necessary to have proper irrigation systems to make the most of it , "" Mr Saldarriaga told the BBC News website .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TV-FILM-PERSONALITY O O O O O O
022.txt_0,"Nat Insurance to rise , say Tories 

 National Insurance will be raised if Labour wins the next election , Tory leader Michael Howard has claimed .",O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O
022.txt_57,Prime minister 's questions also saw Mr Blair predict that new plans would probably cut net immigration .,O O O O O O O B-POLITICIAN O O O O O O O O O O
022.txt_442,Mr Howard read from a letter about the government 's own plans at the European Council of Ministers for processing asylum seekers outside the EU .,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O
105.txt_40,"A statement from the band 's record company Universal said frontman Charlie Simpson planned to spend some time working with his other band , Fightstar .",O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O
105.txt_129,"The band , which also includes members Matt Jay and James Bourne , made the top ten with their self - titled debut album , as well as the follow - up , A Present For Everyone , in 2003 .",O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
105.txt_271,"However , recent rumours have suggested that Simpson has been wanting to quit the band to focus on Fightstar .",O O O O O O O B-MUSICIAN O O O O O O O O O O O O
373.txt_367,"Shadow Europe minister Mr Brady said : "" I believe it is essential that Britain keeps the rebate and I think it 's a crucial test of how firmly the British government is prepared to stand up for Britain internationally in Europe .",O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
373.txt_478,"UK Independence Party leader Roger Knapman said the rebate was "" set in stone "" and there was no reason to negotiate about it .",O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O
373.txt_576,UK Prime Minister Tony Blair is meeting his EU counterparts to finalise a package of measures aimed at stimulating growth and boosting employment ahead of a series of referendums on the European Constitution .,O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
242.txt_110,But BBC Political Correspondent James Hardy said the prospect of outsiders poking their noses into the inner workings of Whitehall appeared to be causing jitters among the mandarins .,O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O
242.txt_200,"Fellow Lib Dem Norman Baker said the episode painted an "" unflattering picture of the inner workings of government "" .",O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O
242.txt_396,"

 Government guidance said e - mails should only be deleted if they served "" no current purpose "" , Mr Thomas said .",O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN O O
