tokens,ner_tags
dawson set for new wasps contract european champions wasps are set to offer matt dawson a new deal .,B-ATHLETE O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O
"wasps coach warren ga ##tland told the daily mirror : "" we have not yet offered matt a new contract but we will be doing so .",O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O B-ATHLETE O O O O O O O O O O
dawson played a vital part in england ' s world cup win last year but has fallen out of favour with new coach andy robinson after missing a training session in september .,B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O
the international association of athletics federation ##s will appeal against the ac ##qui ##ttal of greek athletes ko ##sta ##s kent ##eri ##s and kate ##rina than ##ou .,O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O
""" now we are going to await the final result , which we cannot pre ##ju ##dge , "" said sega ##s chairman va ##ssi ##lis se ##vas ##tis .",O O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O
"kent ##eri ##s , who won olympic 200 ##m gold at the 2000 olympics , and than ##ou were suspended by the iaaf last december after failing to take routine drugs tests before the athens games .",B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O
"kent ##eri ##s ' lawyer gregory io ##ann ##idi ##s described the iaaf ' s decision as "" not unexpected "" but told bbc sport he did not expect the organisation to take action so quickly .",B-ATHLETE I-ATHLETE I-ATHLETE O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O
kent ##eri ##s and than ##ou dramatically withdrew from last summer ' s olympics after missing a drugs test at the olympic village on 12 august .,B-ATHLETE I-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O
than ##ou and kent ##eri ##s still face a criminal trial later this year for allegedly avoiding the test and then fa ##king a motorcycle accident,B-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O
"u2 ' s latest single sometimes you can ' t make it on your own took the top spot in the singles chart , ahead of elvis .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN O
"the track , from their current album how to di ##sman ##tle an atomic bomb , pushed emi ##nem ' s like toy soldiers from number one to number three .",O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O
"elvis ' wooden heart , which entered the chart at number two , is the sixth in a series of 18 reissue ##s to mark the 70th anniversary of presley ' s birth .",B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN O O O O
"there are currently six re - released elvis ' tracks occupying spots in the top 40 singles chart including are you lone ##some tonight at number 20 , it ' s now or never at number 27 and jail ##house rock at number 37 .",O O O O O O O B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"soldier , by destiny ' s child , ti and lil wayne , debuted at number four , while almost here , the duet from former west ##life star brian mc ##fa ##dden and delta good ##rem , fell from number three to number five .",O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O
there was more follow up to brit ##s success for franz ferdinand won best rock act and best british group last week .,O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O
edwards tips id ##ow ##u for euro gold world outdoor triple jump record holder and bbc pun ##dit jonathan edwards believes phillips id ##ow ##u can take gold at the european indoor championships .,B-ATHLETE O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O
id ##ow ##u landed 17 . 30 ##m at the british trials in sheffield last month to lead the world triple jump rankings .,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O
""" it ' s all down to him , but if he jumps as well as he did in sheffield he could win the gold medal , "" said edwards .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE O
id ##ow ##u made his breakthrough five years ago but so far has only a commonwealth silver medal to his name .,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O
edwards himself kept id ##ow ##u off top spot at the manchester games .,B-ATHLETE O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O
""" he has to start producing at international level and here is the beginning , "" said edwards .",O O O O O O O O O O O O O O O O O B-ATHLETE O
""" phillips still needs to be much more consistent .",O B-ATHLETE O O O O O O O O
