unique_id,summary,april_dates,evidence_sentences,confidence
sport_021.txt,"The 29-year-old finished second to Paula Radcliffe in the 2002 and 2003 London races, and was also edged out in an epic New York Marathon contest last year. Chepkemei's management company said she had wanted to run in the World Cross Country Championships in March.","[""—-04""]","[""\""We shall communicate this decision to the IAAF and all meet directors all over the world.\"" The 29-year-old finished second to Paula Radcliffe in the 2002 and 2003 London races, and was also edged out in an epic New York Marathon contest last year. But the ban will prevent the two-time world half-marathon silver medallist from challenging Radcliffe at this year's London event in April. Global Sports Communications, Chepkemei's management company, said she had wanted to run in the World Cross Country Championships in March.""]",0.52
tech_264.txt,"By September, the number of broadband connections in the UK finally overtook dial-up. In December BT announced that it was making a new broadband connection every 10 seconds.","[""—-04""]","[""For those who became broadbanders in 2004 there was no turning back and the days of waiting for the modem to kick in began to seem as outdated an idea as a jungle without celebrities. The rest of the world was also falling in love with the benefits of fast internet access, to the tune of 100 million connections worldwide by April, prompting research firm Point Topic to declare it one of the fastest growing technologies ever. By September, the number of broadband connections in the UK finally overtook dial-up and in December BT announced that it was making a new broadband connection every 10 seconds.""]",0.52
politics_367.txt,The election will give Britain the chance to change. This is the record Mr Blair will have to defend in the coming months.,"[""—-04-01""]","[""The election will give Britain the chance to change.\"" This is the record Mr Blair will have to defend in the coming months, he said, urging voters to hold him to account. But Labour spokesman Mr Kemp said: \""It would be more appropriate for this message to come out on 1 April, not 1 January.\"" \""Let us never forget that when Michael Howard was in government Britain suffered mass unemployment, 15% interest rates, record home repossessions, and the introduction of the poll tax. \""With Labour Britain is working.""]",0.62
entertainment_343.txt,Applegate had been hoping to make her Broadway debut in the show. The 33-year-old injured herself while performing in Chicago. Sweet Charity tells the story of Charity Hope Valentine.,"[""—-04-04"", ""—-04-21""]","[""She had received mixed reviews for performances in Minneapolis and Chicago. Previews of the $7.5m (£4m) show were due to begin on 4 April. Sweet Charity tells the story of Charity Hope Valentine, a dancer who always falls in love with the wrong man."", ""Applegate, who starred in TV comedy Married With Children, had been hoping to make her Broadway debut in the show. The 33-year-old injured herself while performing in Chicago, and had been hoping to recover in time for its official New York opening on 21 April. She had received mixed reviews for performances in Minneapolis and Chicago.""]",0.69
business_216.txt,"As chief operating officer, Toshiyuki Shiga will run Nissan on a daily basis. Mr Ghosn transformed Nissan into a fast-growing and profitable business.","[""—-04""]","[""As chief operating officer, Toshiyuki Shiga will run Nissan on a daily basis, although Mr Ghosn, who masterminded its recovery, will remain chief executive. Mr Ghosn is to become chairman and chief executive of Renault, which owns 44% of the Japanese carmaker, in April. Mr Ghosn transformed Nissan into a fast-growing and profitable business.""]",0.52
business_156.txt,"The Nikkei 225 index ended the day up 0.7% at 11,740.60 points. Retail sales picked up faster than at any time since 1997.","[""—-04-20"", ""2004-04""]","[""At the same time, retail sales picked up faster than at any time since 1997. The news sent Tokyo shares to an eight-month high, as investors hoped for a recovery from the three quarters of contraction seen from April 2004 on. The Nikkei 225 index ended the day up 0.7% at 11,740.60 points, with the yen strengthening 0.7% against the dollar to 104.53 yen.""]",0.59
politics_064.txt,It could take up to 15 years before Turkey is able to join the EU. The EU has also announced that it will start accession talks with Croatia in April 2005.,"[""—-04-20"", ""2005-04""]","[""It could take up to 15 years before Turkey is able to join, and entry cannot be guaranteed. The EU has also announced that it will start accession talks with Croatia in April 2005. However, talks will begin only if the country co-operates fully with the UN war crimes tribunal for the former Yugoslavia.""]",0.62
politics_312.txt,"This would allow months of tough negotiations to follow. Privately ministers believe this will be the ""less painful"" option.","[""—-04""]","[""This would allow months of tough negotiations to follow, said our correspondent. But a spokesman for Mr Prescott warned that the changes to the local government pension scheme would have to go ahead in April. Privately ministers believe this will be the \""less painful\"" option, our correspondent added.""]",0.52
entertainment_279.txt,"In 2003, C-Murder was found guilty of killing a 16-year-old. That decision was overturned last year.","[""—-04""]","[""I don't think he should be allowed these privileges, especially earning money, until his name is totally cleared,\"" the group's president Beverly Siemssen said. In 2003, C-Murder was found guilty of killing a 16-year-old in a nightclub, but that decision was thrown out last April. He is now facing a second trial on a charge of second-degree murder.""]",0.49
entertainment_365.txt,"""We are positively giddy,"" says director of the show. The episode will be broadcast in the US on 19 May.","[""—-04""]","[""\""He had a great idea, and it was so much fun to have him in the room... we are positively giddy.\"" Filming is due to start in early April and the Tarantino-directed episode will be broadcast in the US on 19 May.""]",0.52
