sub_category,sentence,ner_entities
Rugby,"Dawson set for new Wasps contract

European champions Wasps are set to offer Matt Dawson a new deal.","[{""text"": ""Dawson"", ""label"": ""ATHLETE""}, {""text"": ""Matt Dawson"", ""label"": ""ATHLETE""}]"
Rugby,"Wasps coach Warren Gatland told the Daily Mirror: ""We have not yet offered Matt a new contract but we will be doing so.","[{""text"": ""Warren Gatland"", ""label"": ""ATHLETE""}, {""text"": ""Matt"", ""label"": ""ATHLETE""}]"
Rugby,Dawson played a vital part in England's World Cup win last year but has fallen out of favour with new coach Andy Robinson after missing a training session in September.,"[{""text"": ""Dawson"", ""label"": ""ATHLETE""}, {""text"": ""Andy Robinson"", ""label"": ""ATHLETE""}]"
Athletics,The International Association of Athletics Federations will appeal against the acquittal of Greek athletes Kostas Kenteris and Katerina Thanou.,"[{""text"": ""Kostas Kenteris"", ""label"": ""ATHLETE""}, {""text"": ""Katerina Thanou"", ""label"": ""ATHLETE""}]"
Athletics,"""Now we are going to await the final result, which we cannot prejudge,"" said Segas chairman Vassilis Sevastis.","[{""text"": ""Vassilis Sevastis"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
Athletics,"Kenteris, who won Olympic 200m gold at the 2000 Olympics, and Thanou were suspended by the IAAF last December after failing to take routine drugs tests before the Athens Games.","[{""text"": ""Kenteris"", ""label"": ""ATHLETE""}, {""text"": ""Thanou"", ""label"": ""ATHLETE""}]"
Athletics,"Kenteris' lawyer Gregory Ioannidis described the IAAF's decision as ""not unexpected"" but told BBC Sport he did not expect the organisation to take action so quickly.","[{""text"": ""Kenteris"", ""label"": ""ATHLETE""}, {""text"": ""Gregory Ioannidis"", ""label"": ""PUBLIC-FIGURE""}]"
Athletics,Kenteris and Thanou dramatically withdrew from last summer's Olympics after missing a drugs test at the Olympic Village on 12 August.,"[{""text"": ""Kenteris"", ""label"": ""ATHLETE""}, {""text"": ""Thanou"", ""label"": ""ATHLETE""}]"
Athletics,Thanou and Kenteris still face a criminal trial later this year for allegedly avoiding the test and then faking a motorcycle accident,"[{""text"": ""Kenteris"", ""label"": ""ATHLETE""}, {""text"": ""Thanou"", ""label"": ""ATHLETE""}]"
Athletics,"U2's latest single Sometimes You Can't Make It On Your Own took the top spot in the singles chart, ahead of Elvis.","[{""text"": ""Elvis"", ""label"": ""MUSICIAN""}]"
Athletics,"The track, from their current album How To Dismantle An Atomic Bomb, pushed Eminem's Like Toy Soldiers from number one to number three.","[{""text"": ""Eminem"", ""label"": ""MUSICIAN""}]"
Athletics,"Elvis' Wooden Heart, which entered the chart at number two, is the sixth in a series of 18 reissues to mark the 70th anniversary of Presley's birth.","[{""text"": ""Elvis"", ""label"": ""MUSICIAN""}, {""text"": ""Presley"", ""label"": ""MUSICIAN""}]"
Athletics,"There are currently six re-released Elvis' tracks occupying spots in the top 40 singles chart including Are You Lonesome Tonight at number 20, It's Now or Never at number 27 and Jailhouse Rock at number 37.","[{""text"": ""Elvis"", ""label"": ""MUSICIAN""}]"
Athletics,"Soldier, by Destiny's Child, Ti and Lil Wayne, debuted at number four, while Almost Here, the duet from former Westlife star Brian McFadden and Delta Goodrem, fell from number three to number five.","[{""text"": ""Lil Wayne"", ""label"": ""MUSICIAN""}, {""text"": ""Brian McFadden"", ""label"": ""MUSICIAN""}, {""text"": ""Delta Goodrem"", ""label"": ""MUSICIAN""}]"
Athletics,There was more follow up to Brits success for Franz Ferdinand won best rock act and best British group last week.,"[{""text"": ""Franz Ferdinand"", ""label"": ""MUSICIAN""}]"
Athletics,"Edwards tips Idowu for Euro gold

World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.","[{""text"": ""Edwards"", ""label"": ""ATHLETE""}, {""text"": ""Idowu"", ""label"": ""ATHLETE""}, {""text"": ""Jonathan Edwards"", ""label"": ""ATHLETE""}, {""text"": ""Phillips Idowu"", ""label"": ""ATHLETE""}]"
Athletics,Idowu landed 17.30m at the British trials in Sheffield last month to lead the world triple jump rankings.,"[{""text"": ""Idowu"", ""label"": ""ATHLETE""}]"
Athletics,"""It's all down to him, but if he jumps as well as he did in Sheffield he could win the gold medal,"" said Edwards.","[{""text"": ""Edwards"", ""label"": ""ATHLETE""}]"
Athletics,Idowu made his breakthrough five years ago but so far has only a Commonwealth silver medal to his name.,"[{""text"": ""Idowu"", ""label"": ""ATHLETE""}]"
Athletics,Edwards himself kept Idowu off top spot at the Manchester Games.,"[{""text"": ""Edwards"", ""label"": ""ATHLETE""}, {""text"": ""Idowu"", ""label"": ""ATHLETE""}]"
Athletics,"""He has to start producing at international level and here is the beginning,"" said Edwards.","[{""text"": ""Edwards"", ""label"": ""ATHLETE""}]"
Athletics,"""Phillips still needs to be much more consistent.","[{""text"": ""Phillips"", ""label"": ""ATHLETE""}]"
Athletics,Olympic champion Christian Olsson will not be taking part as he is out for the entire indoor season with an ankle injury.,"[{""text"": ""Christian Olsson"", ""label"": ""ATHLETE""}]"
Theatre,"Leonardo DiCaprio, Jamie Foxx and Hilary Swank are among those due to attend this year's Oscar nominees luncheon on Monday.","[{""text"": ""Leonardo DiCaprio"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Jamie Foxx"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Hilary Swank"", ""label"": ""ACTOR-DIRECTOR""}]"
Theatre,"British hopefuls, including Kate Winslet, Imelda Staunton and Sophie Okonedo are also expected to attend.","[{""text"": ""Kate Winslet"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Imelda Staunton"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Sophie Okonedo"", ""label"": ""ACTOR-DIRECTOR""}]"
Theatre,"Martin Scorsese's The Aviator is leading the field at this year's Oscars with 11 nominations, while other multiple nominees include Million Dollar Baby and Sideways.","[{""text"": ""Martin Scorsese's"", ""label"": ""ACTOR-DIRECTOR""}]"
Theatre,"Oscar nominees Swank and Foxx were among the winners at the Screen Actors Guild awards at the weekend, one of the many ceremonies held in the run-up to the Oscars.","[{""text"": ""Swank"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Foxx"", ""label"": ""ACTOR-DIRECTOR""}]"
Theatre,Swank won Best Actress for Million Dollar Baby while Foxx triumphed for his performance as Ray Charles in the biopic Ray.,"[{""text"": ""Swank"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Foxx"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Ray Charles"", ""label"": ""MUSICIAN""}]"
Theatre,"Many of those nominated for Oscars including DiCaprio, Foxx and Staunton - an Oscar nominee for her performance in Vera Drake - have also been nominated for Baftas.","[{""text"": ""Foxx"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""DiCaprio"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Staunton"", ""label"": ""ACTOR-DIRECTOR""}]"
Football,"Wenger offers Mutu hope

Arsenal boss Arsene Wenger would consider signing Adrian Mutu once the striker has served his drugs ban.","[{""text"": ""Wenger"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Mutu"", ""label"": ""ATHLETE""}, {""text"": ""Arsene Wenger"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Adrian Mutu"", ""label"": ""ATHLETE""}]"
Football,Mutu was sacked by Chelsea on Friday after testing positive for cocaine - a move Wenger has backed.,"[{""text"": ""Wenger"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Mutu"", ""label"": ""ATHLETE""}]"
Football,Mutu faces a ban of between six months and two years when the Football Association decides on his punishment.,"[{""text"": ""Mutu"", ""label"": ""ATHLETE""}]"
Football,"But Mutu has hit out at the club's decision, saying: ""Chelsea have destroyed me.""","[{""text"": ""Mutu"", ""label"": ""ATHLETE""}]"
Football,"And Mutu agreed, adding: ""It is unfair.","[{""text"": ""Mutu"", ""label"": ""ATHLETE""}]"
Cinema,"Levy tipped for Whitbread prize

Novelist Andrea Levy is favourite to win the main Whitbread Prize book of the year award, after winning novel of the year with her book Small Island.","[{""text"": ""Levy"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Andrea Levy"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"Second favourite is a biography of Mary Queen of Scots, by John Guy.","[{""text"": ""John Guy"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"A panel of judges including Sir Trevor McDonald, actor Hugh Grant and writer Joanne Harris will decide the overall winner on Tuesday.","[{""text"": ""Trevor McDonald"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Hugh Grant"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Joanne Harris"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"Small Island, Levy's fourth novel, is set in post-war London and centres on a landlady and her lodgers.","[{""text"": ""Levy"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,One is a Jamaican who joined British troops to fight Hitler but finds life difficult out of uniform when he settles in the UK.,"[{""text"": ""Hitler"", ""label"": ""POLITICIAN""}]"
Cinema,"Guy has published many histories, including one of Tudor England.","[{""text"": ""Guy"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"The other contenders include Susan Fletcher for Eve Green, which won the first novel prize.","[{""text"": ""Susan Fletcher"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,Fletcher has recently graduated from the University of East Anglia's creative writing course.,"[{""text"": ""Fletcher"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"The fourth book in the running is Corpus, Michael Symmons Roberts' fourth collection of poems.","[{""text"": ""Michael Symmons Roberts'"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"As well as writing poetry, Symmons Roberts also makes documentary films.","[{""text"": ""Symmons Roberts"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"Geraldine McCaughrean is the final contender, having won the children's fiction category for the third time for Not the End of the World.","[{""text"": ""Geraldine McCaughrean"", ""label"": ""AUTHOR-WRITER""}]"
Cinema,"McCaughrean, who went into magazine publishing after studying teaching, previously won the category in 1987 with A Little Lower than Angels and in 1994 with Gold Dust.","[{""text"": ""McCaughrean"", ""label"": ""AUTHOR-WRITER""}]"
Tech,"The key new technologies applied in the world's fastest elevators include:


 - A pressure control system, which adjusts the atmospheric pressure inside a car by using suction and discharge blowers, preventing ""ear popping"" 
 - An active control system which tries to balance the lift more finely and remove the sources of vibrations 
 - Streamlined cars to reduce the whistling noise produced by running the lifts at a high speed inside a narrow shaft 
 

""The certification of our elevators as world record-holders by the authoritative Guinness World Records is a great honour for us,"" said Masayuki Shimono, president of manufacturer Toshiba Elevator and Building Systems which installed the lifts.","[{""text"": ""Masayuki Shimono"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
Tech,"""As such, it is an interesting indicator of how technology has advanced in the 50 years since that first edition, when the record was 426m per minute, or 25.6 km/h, less than half the speed of the new record,"" said Hein Le Roux, specialist researcher at the Guinness World Records.","[{""text"": ""Hein Le Roux"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,Labour's Cunningham to stand down,"[{""text"": ""Cunningham"", ""label"": ""POLITICIAN""}]"
Politics,Veteran Labour MP and former Cabinet minister Jack Cunningham has said he will stand down at the next election.,"[{""text"": ""Jack Cunningham"", ""label"": ""POLITICIAN""}]"
Politics,"One of the few Blair-era ministers to serve under Jim Callaghan, he was given the agriculture portfolio when Labour regained power in 1997.","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}, {""text"": ""Jim Callaghan"", ""label"": ""POLITICIAN""}]"
Politics,"Mr Cunningham went on to become Tony Blair's ""cabinet enforcer"".","[{""text"": ""Cunningham"", ""label"": ""POLITICIAN""}, {""text"": ""Tony Blair's"", ""label"": ""POLITICIAN""}]"
Politics,"Mr Blair said he was a ""huge figure"" in Labour and a ""valued, personal friend"".","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
Politics,"During Labour's long period in opposition, Mr Cunningham held a number of shadow roles including foreign affairs, the environment and as trade spokesman.","[{""text"": ""Cunningham"", ""label"": ""POLITICIAN""}]"
Music,"Chief executive Jim Skinner attributed an 8.3% increase in January worldwide sales to the ""vitality of our menu"", among other things.","[{""text"": ""Jim Skinner"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
Music,"The programme can at present only been seen in the US, where it has featured artists like British stars Joss Stone and Franz Ferdinand.","[{""text"": ""Joss Stone"", ""label"": ""MUSICIAN""}, {""text"": ""Franz Ferdinand"", ""label"": ""MUSICIAN""}]"
Music,"McDonald's has targeted the youth market in the past with its advertisements, signing up stars like jelly-legged dancer Justin Timberlake and all-woman singing group Destiny's Child.","[{""text"": ""Justin Timberlake"", ""label"": ""MUSICIAN""}]"
Stock Market,"We are not scared to take this to its conclusion this time,"" Atticus' David Slager told the Sunday Times.","[{""text"": ""David Slager"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
Stock Market,The Sunday Times reported that TCI had been drawing up a list of heavyweight executives to replace Deutsche's chairman Rolf Breuer and chief executive Werner Seifert.,"[{""text"": ""Rolf Breuer"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Werner Seifert"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
Politics,"Lord Scarman, 93, dies peacefully","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Distinguished lawyer Lord Scarman, who conducted the inquiry into the 1981 Brixton riots, has died aged 93.","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Paying tribute, the Lord Chancellor Lord Falconer said Lord Scarman was one of the ""great advocates of our generation"".","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Falconer"", ""label"": ""POLITICIAN""}]"
Politics,"Lord Scarman's nephew George Ritchie said the peer, who passed away peacefully on Wednesday, would be ""sadly missed"".","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""George Ritchie"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"The Lord Chief Justice, Lord Woolf, who is the most senior judge in England and Wales, said it was Lord Scarman's ""pioneering work"" which paved the way for the Human Rights Act 1998.","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Dame Elizabeth Butler-Sloss, the president of the Family Justice Division, said Lord Scarman was a ""good and humane judge"" and one of the greatest figures of the late 20th century.","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Elizabeth Butler-Sloss"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,Lord Scarman will be remembered for the public inquiry he led into a string of race riots which began in Brixton when racial tensions rose after a police crackdown on street robbery.,"[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}]"
Politics,"Trevor Phillips, chair of the Commission for Racial Equality, praised Lord Scarman's ""ability to listen"".","[{""text"": ""Scarman"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Trevor Phillips"", ""label"": ""PUBLIC-FIGURE""}]"
