sentence,true_tags,predicted_tags
"since president yu ##dh ##oy ##ono ' s government came to power in october , it has indicated its intention of raising domestic fuel prices by cutting subsidies . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O
"kennedy questions trust of blair li ##b dem leader charles kennedy has said voters now have a "" fundamental lack of trust "" of tony blair as prime minister .",O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O,B-POLITICIAN O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O
"mr kennedy said during his nearly 22 years in parliament he had seen prime ministers and party leaders come and go and knew the pit ##falls of british politics . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"but he said mr blair had lost the trust of the british people . """,O O O O O O O O O O O O O O O,O O O O B-POLITICIAN O O O O O O O O O O
"mr kennedy also used his tv appearance to defend his party ' s plans to increase income tax to 50 % for those earning more than £100 , 000 , saying it would apply to just 1 % of the population .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
mr blair has already spent a day with five and michael howard is booked for a similar session .,O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O,O B-POLITICIAN O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O
"brown targets o ##ap ##s and home ##bu ##yer ##s gordon brown has doubled the level at which house buyers pay stamp duty to £1 ##20 , 000 as he put the economy at the heart of labour ' s election campaign .",O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-POLITICIAN O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"mr brown put 1 ##p a pin ##t on beer , 4 ##p on a bottle of wine and 7 ##p on 20 cigarettes but froze petrol duty until september .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"the tori ##es called it a "" vote now , pay later "" budget .",O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O
""" this government and this chancellor have run out of solutions to the problems britain faces , "" mr howard told mps . """,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O B-POLITICIAN O O O O
"liberal democrat leader charles kennedy attacked mr brown for failing to mention the environment and for his record on social justice . """,O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O,O O O B-POLITICIAN I-POLITICIAN O O B-POLITICIAN O O O O O O O O O O O O O O O
