index,sentence,true_tags,predicted_tags,true_entities,predicted_entities
4,out ##kas ##t will add their awards to the four they won at the us mtv awards in august and three grammy ##s in february .,O O O O O O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 0, 2)]"
16,"emi ##nem ' s group , d ##12 , were surprise winners in the best hip - hop category , beating the beast ##ie boys , jay - z , kanye west and nelly .",B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O B-MUSICIAN O,B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN O,"[('MUSICIAN', 0, 1), ('MUSICIAN', 26, 28), ('MUSICIAN', 30, 31), ('MUSICIAN', 33, 33)]","[('MUSICIAN', 0, 1), ('MUSICIAN', 30, 31), ('MUSICIAN', 33, 33)]"
21,"spears was named best female , sending a message of thanks on video saying the award "" means so much to me "" .",O O O O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 0, 0)]"
22,"alicia keys , anastasia , av ##ril la ##vi ##gne and beyonce knowles had featured alongside her in that contest .",B-MUSICIAN I-MUSICIAN O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O O O O O,B-MUSICIAN I-MUSICIAN O B-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O O O O O,"[('MUSICIAN', 0, 1), ('MUSICIAN', 5, 9), ('MUSICIAN', 11, 12)]","[('MUSICIAN', 0, 1), ('MUSICIAN', 3, 3), ('MUSICIAN', 5, 9), ('MUSICIAN', 11, 12)]"
24,"muse were also named best uk and ireland act , ahead of franz ferdinand , natasha bed ##ing ##field , jam ##elia and the streets .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O,[],"[('MUSICIAN', 12, 13), ('MUSICIAN', 15, 18), ('MUSICIAN', 20, 21)]"
30,pa ##vey focuses on indoor success jo pa ##vey will miss january ' s view from great edinburgh international cross country to focus on preparing for the european indoor championships in march .,O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 6, 8)]","[('ATHLETE', 0, 1), ('ATHLETE', 6, 8)]"
34,"pa ##vey , who came fifth in the 5 , 000 ##m at the athens olympics , helped the british cross country team win the team silver medal in her ##ings ##dorf last week .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 1)]"
36,reyes tricked into real admission jose antonio reyes has added to speculation linking him with a move from arsenal to real madrid after falling victim to a radio prank .,O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 5, 7)]","[('ATHLETE', 0, 0), ('ATHLETE', 5, 7)]"
37,"the span ##iard believed he was talking to real madrid sporting director emilio but ##rag ##uen ##o when he allegedly be ##rated his team - mates as "" bad people "" . """,O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,"[('BUSINESS-EXECUTIVE-MANAGER', 12, 16)]","[('ATHLETE', 12, 16)]"
38,"i wish i was playing for real madrid , "" the 21 - year - old told caden ##a cope . """,O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O,[],"[('ATHLETE', 17, 18)]"
47,"before the story surfaced , reyes had moved to play down reports linking him with the spanish giants , issuing a statement through arsenal describing the speculation as "" flat ##tering "" . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 5, 5)]"
50,"but ##rag ##uen ##o , meanwhile , was angry at being imp ##erson ##ated by the radio disc jockey . """,O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 0, 3)]"
54,wen ##ger steps up row ars ##ene wen ##ger has stepped up his feud with sir alex ferguson by claiming the manchester united manager is guilty of bringing football into di ##sr ##ep ##ute .,O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O,"[('ATHLETE', 5, 8), ('ATHLETE', 15, 17)]","[('ATHLETE', 0, 1), ('BUSINESS-EXECUTIVE-MANAGER', 5, 8), ('ATHLETE', 16, 17)]"
55,"the pair ' s long - running row was put back in the headlines on saturday when ferguson said his arsenal counterpart was "" a disgrace "" .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O O,[],"[('ATHLETE', 17, 17)]"
