tokens,ner_tags
ĠDawson Ġset Ġfor Ġnew ĠWas ps Ġcontract Ċ Ċ European Ġchampions ĠWas ps Ġare Ġset Ġto Ġoffer ĠMatt ĠDawson Ġa Ġnew Ġdeal .,B-ATHLETE O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O
"ĠWas ps Ġcoach ĠWarren ĠGat land Ġtold Ġthe ĠDaily ĠMirror : Ġ"" We Ġhave Ġnot Ġyet Ġoffered ĠMatt Ġa Ġnew Ġcontract Ġbut Ġwe Ġwill Ġbe Ġdoing Ġso .",O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O B-ATHLETE O O O O O O O O O O
ĠDawson Ġplayed Ġa Ġvital Ġpart Ġin ĠEngland 's ĠWorld ĠCup Ġwin Ġlast Ġyear Ġbut Ġhas Ġfallen Ġout Ġof Ġfavour Ġwith Ġnew Ġcoach ĠAndy ĠRobinson Ġafter Ġmissing Ġa Ġtraining Ġsession Ġin ĠSeptember .,B-ATHLETE O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O
ĠThe ĠInternational ĠAssociation Ġof ĠAthletics ĠFeder ations Ġwill Ġappeal Ġagainst Ġthe Ġacqu ittal Ġof ĠGreek Ġathletes ĠK ost as ĠKent er is Ġand ĠK ater ina ĠThan ou .,O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O
"Ġ"" Now Ġwe Ġare Ġgoing Ġto Ġawait Ġthe Ġfinal Ġresult , Ġwhich Ġwe Ġcannot Ġprejud ge ,"" Ġsaid ĠSe gas Ġchairman ĠV ass il is ĠSev ast is .",O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O
"ĠKent er is , Ġwho Ġwon ĠOlympic Ġ200 m Ġgold Ġat Ġthe Ġ2000 ĠOlympics , Ġand ĠThan ou Ġwere Ġsuspended Ġby Ġthe ĠI AAF Ġlast ĠDecember Ġafter Ġfailing Ġto Ġtake Ġroutine Ġdrugs Ġtests Ġbefore Ġthe ĠAthens ĠGames .",B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O
"ĠKent er is ' Ġlawyer ĠGregory ĠIo ann idis Ġdescribed Ġthe ĠI AAF 's Ġdecision Ġas Ġ"" not Ġunexpected "" Ġbut Ġtold ĠBBC ĠSport Ġhe Ġdid Ġnot Ġexpect Ġthe Ġorganisation Ġto Ġtake Ġaction Ġso Ġquickly .",B-ATHLETE I-ATHLETE I-ATHLETE O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Ġ"" The ĠI AAF 's Ġtiming Ġis Ġextremely Ġsurprising Ġand Ġit Ġcreates Ġconcerns Ġand Ġquestions ,"" Ġsaid ĠIo ann idis .",O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O
ĠKent er is Ġand ĠThan ou Ġdramatically Ġwithdrew Ġfrom Ġlast Ġsummer 's ĠOlympics Ġafter Ġmissing Ġa Ġdrugs Ġtest Ġat Ġthe ĠOlympic ĠVillage Ġon Ġ12 ĠAugust .,B-ATHLETE I-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O
ĠThan ou Ġand ĠKent er is Ġstill Ġface Ġa Ġcriminal Ġtrial Ġlater Ġthis Ġyear Ġfor Ġallegedly Ġavoiding Ġthe Ġtest Ġand Ġthen Ġf aking Ġa Ġmotorcycle Ġaccident,B-ATHLETE I-ATHLETE O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O
