tokens,ner_tags,keyword
"ĠShadow Ġleader Ġof Ġthe ĠCommons ĠOliver ĠHe ald Ġsaid : Ġ"" This Ġwill Ġbe Ġpart Ġof Ġour Ġaim Ġto Ġreduce Ġunnecessary Ġand Ġcostly Ġinterference Ġin Ġpeople 's Ġlives Ġby Ġreducing Ġthe Ġsize Ġand Ġrole Ġof Ġthe ĠState "".",O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠD rog ba , ĠChelsea 's ĠÂ£ 24 m Ġstriker , Ġhas Ġmissed Ġthe Ġlast Ġthree Ġweeks Ġthrough Ġinjury .",B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O,NONE
ĠTarant ino Ġ' to Ġmake ĠFriday Ġsequel ',B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O,NONE
ĠThe Ġbest Ġperformance Ġon Ġthe Ġtrack Ġfor Ġme Ġwas ĠSarah ĠCla xton 's Ġwin Ġin Ġthe Ġ60 m Ġhurdles .,O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O,NONE
ĠDiane ĠAllah green Ġhas Ġbeen Ġour Ġbest Ġhurd ler Ġfor Ġsome Ġtime Ġnow Ġand ĠI Ġthink Ġshe Ġwas Ġsurprised Ġto Ġbe Ġbeaten Ġby ĠSarah .,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O B-ATHLETE O,NONE
"ĠA Ġlot Ġof Ġthe Ġathletes Ġsaid Ġthe Ġrunway Ġwas Ġnot Ġvery Ġhelpful , Ġso Ġfor ĠPhillips Ġto Ġjump Ġlike Ġthat Ġis Ġa Ġgood Ġperformance .",O O O O O O O O O O O O O O O B-ATHLETE O O O O O O O O O,NONE
"ĠYus uf , Ġwho Ġcame Ġthird Ġin Ġthe Ġ400 m , Ġis Ġfrom Ġthe ĠSudan Ġbut Ġis Ġtrying Ġto Ġgain ĠBritish Ġcitizenship .",B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O,NONE
"ĠA Ġspokesman Ġsaid ĠPresident ĠMush ar raf 's Ġsafety Ġhad Ġnot Ġbeen Ġcompromised , Ġas Ġthe Ġpapers Ġhad Ġbeen Ġhanded Ġin Ġpromptly .",O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O,NONE
ĠGen ĠMush ar raf Ġheld Ġtalks Ġwith ĠTony ĠBlair Ġon ĠMonday .,O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O B-POLITICIAN I-POLITICIAN O O O,NONE
Ġ' My Ġmemories Ġof ĠMar ley ... ',O O O O B-MUSICIAN I-MUSICIAN O O,NONE
