unique_id,summary,month_dates,evidence_sentences,confidence
politics_375.txt,No April-specific events could be identified in the article.,[],[],0.2
business_490.txt,"Summarize only the events that occurred in April or are scheduled for April. Include who/what, when, where if present, and status (occurred/scheduled) Ignore information unrelated to April.","[""2004-04""]","[""The unemployment rate has been falling gradually since April 2004 when it reached a peak of 13.1%.""]",0.4
sport_057.txt,No April-specific events could be identified in the article.,[],[],0.2
business_252.txt,No April-specific events could be identified in the article.,[],[],0.2
business_241.txt,No April-specific events could be identified in the article.,[],[],0.2
entertainment_002.txt,Summarize only the events that occurred in April or are scheduled for April. Always include the April date(s) in your summary if present in the evidence. Ignore information unrelated to April.,"[""—-04-02""]","[""Denmark is holding a three-day celebration of the life of the fairy-tale author, with a concert at Parken stadium on 2 April.""]",0.4
entertainment_259.txt,"The resulting song, Through the Wire, became West's first UK hit in April 2004. The College Dropout became a transatlantic success, both critically and commercially.","[""2004-04""]","[""The resulting song, Through the Wire, became West's first UK hit in April 2004 and subsequent album The College Dropout became a transatlantic success, both critically and commercially.""]",0.4
business_310.txt,Summarize only the events that occurred in April or are scheduled for April. Always include the April date(s) in your summary if present in the evidence. Ignore information unrelated to April.,"[""2005-04""]","[""\""Our businesses in the United States and emerging markets such as China, Russia and Turkey, combined with favourable European exchange rates, helped drive much of this growth.\"" He added: \""With the first half of our fiscal year in the books, we remain confident that our business strategy and consistent execution will allow us to deliver on our goals of healthy, profitable growth.\"" The firm reported worldwide futures orders for athletic footwear and gear, scheduled for delivery from December 2004 to April 2005, of $4.9bn.""]",0.4
entertainment_037.txt,No April-specific events could be identified in the article.,[],[],0.2
business_315.txt,No April-specific events could be identified in the article.,[],[],0.2
entertainment_314.txt,No April-specific events could be identified in the article.,[],[],0.2
tech_145.txt,Summarize only the events that occurred in April or are scheduled for April. Always include the April date(s) in your summary if present in the evidence. Ignore information unrelated to April.,"[""2004-04""]","[""For part of the study, Pew Internet conducted an online survey of 2,755 musicians, songwriters and music publishers via musician membership organisations between March and April 2004.""]",0.4
sport_013.txt,No April-specific events could be identified in the article.,[],[],0.2
