sub_category,sentence,ner_entities
Rugby,"Dawson set for new Wasps contract

European champions Wasps are set to offer Matt Dawson a new deal.","[{""text"": "" Dawson"", ""label"": ""PERSON""}, {""text"": "" Matt Dawson"", ""label"": ""PERSON""}]"
Rugby,"Wasps coach Warren Gatland told the Daily Mirror: ""We have not yet offered Matt a new contract but we will be doing so. ""","[{""text"": "" Warren Gatland"", ""label"": ""PERSON""}, {""text"": "" Matt"", ""label"": ""PERSON""}]"
Rugby,Dawson played a vital part in England's World Cup win last year but has fallen out of favour with new coach Andy Robinson after missing a training session in September.,"[{""text"": "" Dawson"", ""label"": ""PERSON""}, {""text"": "" Andy Robinson"", ""label"": ""PERSON""}]"
Athletics,"IAAF will contest Greek decision

The International Association of Athletics Federations will appeal against the acquittal of Greek athletes Kostas Kenteris and Katerina Thanou.","[{""text"": "" Kostas Kenteris"", ""label"": ""PERSON""}, {""text"": "" Katerina Thanou"", ""label"": ""PERSON""}]"
Athletics,"Segas said the IAAF appeal was ""expected"" and ""understandable."" ""","[{""text"": "" Segas"", ""label"": ""PERSON""}]"
Athletics,"Now we are going to await the final result, which we cannot prejudge,"" said Segas chairman Vassilis Sevastis.","[{""text"": "" Vassilis Sevastis"", ""label"": ""PERSON""}]"
Athletics,"Kenteris, who won Olympic 200m gold at the 2000 Olympics, and Thanou were suspended by the IAAF last December after failing to take routine drugs tests before the Athens Games.","[{""text"": "" Kenteris"", ""label"": ""PERSON""}, {""text"": "" Thanou"", ""label"": ""PERSON""}]"
Athletics,"Kenteris' lawyer Gregory Ioannidis described the IAAF's decision as ""not unexpected"" but told BBC Sport he did not expect the organisation to take action so quickly. ""","[{""text"": "" Kenteris"", ""label"": ""PERSON""}, {""text"": "" Gregory Ioannidis"", ""label"": ""PERSON""}]"
Athletics,"The IAAF's timing is extremely surprising and it creates concerns and questions,"" said Ioannidis. ""","[{""text"": "" Ioannidis"", ""label"": ""PERSON""}]"
Athletics,Kenteris and Thanou dramatically withdrew from last summer's Olympics after missing a drugs test at the Olympic Village on 12 August.,"[{""text"": "" Kenteris"", ""label"": ""PERSON""}, {""text"": "" Thanou"", ""label"": ""PERSON""}]"
Athletics,Thanou and Kenteris still face a criminal trial later this year for allegedly avoiding the test and then faking a motorcycle accident,"[{""text"": "" Thanou"", ""label"": ""PERSON""}, {""text"": "" Kenteris"", ""label"": ""PERSON""}]"
Athletics,"U2's latest single Sometimes You Can't Make It On Your Own took the top spot in the singles chart, ahead of Elvis.","[{""text"": "" Elvis"", ""label"": ""PERSON""}]"
Athletics,"The track, from their current album How To Dismantle An Atomic Bomb, pushed Eminem's Like Toy Soldiers from number one to number three.","[{""text"": "" Eminem"", ""label"": ""PERSON""}]"
Athletics,"Elvis' Wooden Heart, which entered the chart at number two, is the sixth in a series of 18 reissues to mark the 70th anniversary of Presley's birth.","[{""text"": "" Elvis"", ""label"": ""PERSON""}, {""text"": "" Presley"", ""label"": ""PERSON""}]"
Athletics,"There are currently six re-released Elvis' tracks occupying spots in the top 40 singles chart including Are You Lonesome Tonight at number 20, It's Now or Never at number 27 and Jailhouse Rock at number 37.","[{""text"": "" Elvis"", ""label"": ""PERSON""}]"
Athletics,"Soldier, by Destiny's Child, Ti and Lil Wayne, debuted at number four, while Almost Here, the duet from former Westlife star Brian McFadden and Delta Goodrem, fell from number three to number five.","[{""text"": "" Ti"", ""label"": ""PERSON""}, {""text"": "" Lil Wayne"", ""label"": ""PERSON""}, {""text"": "" Brian McFadden"", ""label"": ""PERSON""}, {""text"": "" Delta Goodrem"", ""label"": ""PERSON""}]"
Athletics,There was more follow up to Brits success for Franz Ferdinand won best rock act and best British group last week.,"[{""text"": "" Franz Ferdinand"", ""label"": ""PERSON""}]"
Athletics,"Edwards tips Idowu for Euro gold

World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.","[{""text"": "" Edwards"", ""label"": ""PERSON""}, {""text"": "" Idowu"", ""label"": ""PERSON""}, {""text"": "" Jonathan Edwards"", ""label"": ""PERSON""}, {""text"": "" Phillips Idowu"", ""label"": ""PERSON""}]"
Athletics,"Idowu landed 17.30m at the British trials in Sheffield last month to lead the world triple jump rankings. ""","[{""text"": "" Idowu"", ""label"": ""PERSON""}]"
Athletics,"It's all down to him, but if he jumps as well as he did in Sheffield he could win the gold medal,"" said Edwards. ""","[{""text"": "" Edwards"", ""label"": ""PERSON""}]"
