sentence,ner_entities
"Virtual weight"" measurements are based on research by California Institute of Technology professor Roy Williams.","[{""text"": ""roy williams"", ""label"": ""AUTHOR-WRITER""}]"
"Britain has become a nation of information hoarders with a ferocious appetite for data,"" said Martin Larsson, general manager of Toshiba's European storage device division.","[{""text"": ""martin larsson"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Consumer electronics companies want UWB to replace cables and simplify set-up,"" Jeff Ravencraft, technology strategist at Intel and chairman of the Wireless USB Promoter Group, told technology site ZDNet. ""","[{""text"": ""jeff ravencraft"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Here in Asia, we consider a double-digit increase in retail on the order of 10 to 15% to be realistic on the basis of current features,"" said Helmut Panke, BMW's group chief executive.","[{""text"": ""helmut panke"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Stephen Toulouse, a Microsoft security manager, said the flaws were known about, and although the firm had not seen any attacks exploiting the flaw, he did not rule them out.","[{""text"": ""stephen toulouse"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"That gives them some head room to invest in growth now,"" said Hannes Wittig, telecoms analyst at Dresdner Kleinwort Wasserstein.","[{""text"": ""hannes wittig"", ""label"": ""PUBLIC-FIGURE""}]"
": ""I recall in 1978 he came to the UK for Top of the Pops and a Daily Mirror journalist did a half-hour interview.","[{""text"": ""daily mirror journalist"", ""label"": ""AUTHOR-WRITER""}]"
"""While HSDPA theoretically enables data rates up to a maximum of 14Mbps, practical throughputs will be lower than this in wide-area networks,"" said Dr Alastair Brydon, author of the Analysys report: Pushing Beyond the Limits of 3G with HSDPA and Other Enhancements. ""","[{""text"": ""alastair brydon"", ""label"": ""AUTHOR-WRITER""}]"
"We are ""expanding our network and deploying EV-DO technology to meet customer demand for faster wireless speeds,"" said Oliver Valente, Sprint's vice president for technology development, when the contract was announced.","[{""text"": ""oliver valente"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Retail Decisions chief executive Carl Clump told the BBC that there was ""no doubt"" that chip and pin would ""reduce card fraud in the card-present environment"". ""","[{""text"": ""carl clump"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
