index,sentence,true_tags,predicted_tags,true_entities,predicted_entities
0,ĠOut K ast Ġwin Ġat ĠMTV ĠEurope ĠAwards Ċ Ċ US Ġhip - hop Ġduo ĠOut K ast Ġhave Ġcapped Ġa Ġyear Ġof Ġaward Ġglory Ġwith Ġthree Ġprizes Ġat Ġthe ĠMTV ĠEurope ĠMusic ĠAwards Ġin ĠRome .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 0, 2), ('MUSICIAN', 15, 17)]"
4,ĠOut K ast Ġwill Ġadd Ġtheir Ġawards Ġto Ġthe Ġfour Ġthey Ġwon Ġat Ġthe ĠUS ĠMTV ĠAwards Ġin ĠAugust Ġand Ġthree ĠGram mys Ġin ĠFebruary .,O O O O O O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 0, 2)]"
5,ĠNot Ġonly Ġwas ĠHey ĠYa !,O O O O O O,O O O O B-MUSICIAN O,[],"[('MUSICIAN', 4, 4)]"
8,"Ġ Ċ Ċ Andre Ġ3000 Ġthanked Ġfans Ġ"" for Ġsupporting ĠOut K ast Ġthroughout Ġthe Ġyears "". Ġ""",O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O,O O O B-MUSICIAN I-MUSICIAN O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O,"[('MUSICIAN', 3, 4)]","[('MUSICIAN', 3, 4), ('MUSICIAN', 10, 12)]"
11,"ĠAlso Ġcompeting Ġfor Ġbest Ġgroup Ġhad Ġbeen Ġthe ĠBeast ie ĠBoys , Ġthe ĠBlack ĠEy ed ĠPe as , ĠD 12 Ġand ĠMar oon Ġ5 .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN O O O,[],"[('MUSICIAN', 22, 22)]"
13,"Ġ Ċ Ċ Out K ast Ġdid Ġlose Ġout Ġin Ġthe Ġcontest Ġfor Ġbest Ġalbum Ġ- Ġwhich Ġwas Ġwon Ġby ĠUs her , Ġanother Ġaward Ġfavourite .",O O O O O O O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O,O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O O O O O,"[('MUSICIAN', 20, 21)]","[('MUSICIAN', 3, 5), ('MUSICIAN', 20, 21)]"
17,"ĠEminem Ġtold Ġthe Ġcrowd : Ġ"" D 12 Ġfinally Ġwon Ġan Ġaward , Ġthank Ġyou Ġvery Ġmuch .""",B-MUSICIAN O O O O O O O O O O O O O O O O O,B-MUSICIAN O O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O,"[('MUSICIAN', 0, 0)]","[('MUSICIAN', 0, 0), ('MUSICIAN', 6, 7)]"
21,"ĠSpears Ġwas Ġnamed Ġbest Ġfemale , Ġsending Ġa Ġmessage Ġof Ġthanks Ġon Ġvideo Ġsaying Ġthe Ġaward Ġ"" me ans Ġso Ġmuch Ġto Ġme "".",O O O O O O O O O O O O O O O O O O O O O O O O,B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O,[],"[('MUSICIAN', 0, 0)]"
23,"Ġ Ċ Ċ Link in ĠPark Ġsinger ĠChester ĠBen nington Ġdescribed Ġtheir Ġprize Ġfor Ġbest Ġrock Ġband Ġas Ġ"" quite Ġan Ġhonour "" Ġwhile ĠMuse Ġsaid Ġtheir Ġwin Ġfor Ġbest Ġalternative Ġact Ġwas Ġ"" a Ġreal Ġsurprise Ġfor Ġus "".",O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O B-MUSICIAN O O O O O O O O O O O O O O O,"[('MUSICIAN', 7, 9)]","[('MUSICIAN', 7, 9), ('MUSICIAN', 24, 24)]"
24,"ĠMuse Ġwere Ġalso Ġnamed Ġbest ĠUK Ġand ĠIreland Ġact , Ġahead Ġof ĠFranz ĠFerdinand , ĠNatasha ĠB eding field , ĠJam elia Ġand ĠThe ĠStreets .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN I-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O,[],"[('MUSICIAN', 12, 13), ('MUSICIAN', 15, 18), ('MUSICIAN', 20, 21)]"
