sentence_id,tokens,ner_tags
politics_096.txt_237,"Shadow leader of the Commons Oliver Heald said : "" This will be part of our aim to reduce unnecessary and costly interference in people 's lives by reducing the size and role of the State "" .",O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
politics_197.txt_0,Blair ' pressing US on climate ',B-POLITICIAN O O O O O O
politics_197.txt_209,President Bush 's advisers have repeatedly denied global warming is taking place .,O B-POLITICIAN O O O O O O O O O O O
politics_139.txt_224,"On Thursday Mr Straw was in India visiting Sikhism 's holiest shrine , the Golden Temple in Amritsar where he tried his hand at making Indian bread or roti .",O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O
politics_060.txt_357,Both the Cardinal and Archbishop of Canterbury Dr Rowan Williams appealed for the weapons inspectors to be given more time in Iraq before the war started .,O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O
entertainment_317.txt_0,Patti Smith to host arts festival,B-MUSICIAN I-MUSICIAN O O O O
entertainment_133.txt_337,"Black Eyed Peas singer Fergie was dressed in a tight orange top and purple hotpants , but nothing in her performance was likely to upset TV watchdogs .",O O O O B-MUSICIAN O O O O O O O O O O O O O O O O O O O O O O O
politics_034.txt_313,The issue entered the public spotlight when Norfolk farmer Tony Martin was jailed for shooting dead a 16 - year - old burglar in 1999 as he ran away from the farm .,O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O
politics_373.txt_367,"Shadow Europe minister Mr Brady said : "" I believe it is essential that Britain keeps the rebate and I think it 's a crucial test of how firmly the British government is prepared to stand up for Britain internationally in Europe .",O O O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
entertainment_217.txt_57,Model Anna Nicole Smith 's reality show and The Dukes of Hazzard were runners - up in the Broadcast magazine survey .,O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O
sport_010.txt_79,Collins ran in Birmingham at the 2003 World Indoor Championships .,B-ATHLETE O O O O O O O O O O
sport_218.txt_666,"Mourinho had his say on that game , complaining : "" Five - four is a hockey score , not a football score .",B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O
politics_174.txt_382,Police said Ferguson posed a danger to the public .,O O B-PUBLIC-FIGURE O O O O O O O
entertainment_153.txt_525,"Muse were also named best UK and Ireland act , ahead of Franz Ferdinand , Natasha Bedingfield , Jamelia and The Streets .",B-MUSICIAN O O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN O B-MUSICIAN O O B-MUSICIAN O
entertainment_025.txt_97,"JK Rowling 's fifth book in the wizard series , Harry Potter and Order of the Phoenix was Amazon 's largest pre - ordered item ever , with 420,000 copies pre - ordered prior to its release in June 2003 .",B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
entertainment_176.txt_282,"And David Schwimmer ( Ross ) directed during his time on Friends , and has also worked on Joey .",O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O B-PUBLIC-FIGURE O O O O O O O O O O O O B-PUBLIC-FIGURE O
tech_228.txt_318,"Special guest , singer Gwen Stefani , joined her on - stage to promote her own range of HP digital cameras which Ms Stefani has helped design and which are heavily influenced by Japanese youth culture .",O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O B-MUSICIAN O O O O O O O O O O O O
entertainment_305.txt_537,"The Incredible Hulk , The Mighty Thor , Iron Man and the rest all grappled with problems like drug abuse , bigotry and social inequality .",B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O
entertainment_305.txt_628,"Some years ago the Marvel hero , Northstar , came out of the closet .",O O O O O O O B-PUBLIC-FIGURE O O O O O O O
politics_241.txt_95,"Scottish Finance Minister , Tom McCabe MSP , said : "" Last week in parliament I announced an additional £ 419 m for core expenditure to local government in Scotland .",O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O
sport_196.txt_0,Wenger signs new deal,B-ATHLETE O O O
politics_366.txt_116,""" I believe that the generation that provided the finance to combat , cure and eradicate the world 's deadliest disease of today - and today the world 's least curable disease - HIV / Aids - will rightly earn the title ' the great generation ' , "" Mr Brown said in a speech during his African tour .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN O O O O O O O O O
politics_366.txt_527,"On Wednesday , Mr Brown visited slums in the Kenyan capital Nairobi .",O O O O B-POLITICIAN O O O O O O O O
politics_334.txt_326,"Former union leader Sir Bill Morris has already accused both the big parties of engaging in a "" bidding war about who can be nastiest to asylum seekers "" .",O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O
entertainment_251.txt_57,"Muse , whose members met in south Devon , beat Franz Ferdinand , Jamie Cullum , Kasabian and The Libertines for best British live act .",B-MUSICIAN O O O O O O O O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O B-MUSICIAN O O B-MUSICIAN O O O O O O
entertainment_251.txt_313,"Indie Rock group Muse consists of Matthew Bellamy , Chris Wolstenholme and Dominic Howard who met in their early teens in Teignmouth , south Devon .",O O O O B-MUSICIAN O O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O
entertainment_304.txt_36,"Michelle Paver 's Wolf Brother , a fantasy set 6,000 years ago , is the first in a planned series of six books .",B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O O O O O
entertainment_304.txt_238,Paver is currently writing the second book in the series .,B-AUTHOR-WRITER O O O O O O O O O O
entertainment_304.txt_249,""" Michelle Paver lives and breathes the worlds she writes about , "" said a spokesman for the author .",O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O O O O O
entertainment_017.txt_90,"

 Gabriel Garcia Marquez , Saul Bellow , Milan Kundera and John Updike also feature on the 18 - strong list of world literary figures .",O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O O O O O O O O O O
entertainment_017.txt_221,"



 Margaret Atwood ( Canada ) Saul Bellow ( Canada ) Gabriel Garcia Marquez ( Colombia ) Gunter Grass ( Germany ) Ismail Kadare ( Albania )",O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O
entertainment_017.txt_248,Milan Kundera ( Czech Republic ) Stanislaw Lem ( Poland ) Doris Lessing ( UK ) Ian McEwan ( UK ) Naguib Mahfouz ( Egypt ) Tomas Eloy Martinez ( Argentina ) Kenzaburo Oe ( Japan ) Cynthia Ozick ( US ) Philip Roth ( US ) Muriel Spark ( UK ) Antonio Tabucchi ( Italy ) John Updike ( US ) Abraham B Yehoshua ( Israel ),B-AUTHOR-WRITER I-AUTHOR-WRITER O O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER O O O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O
tech_260.txt_32,"Chief executive Steve Jobs showed off the new machine at his annual MacWorld speech , in San Francisco .",O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O
tech_260.txt_508,Mr Jobs told the delegates at MacWorld that iPod already had a 65 % market share of all digital music players .,O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O
business_076.txt_304,"This week Colin Powell , US Secretary of State was visiting the West Bank to stress US support for a smooth Palestinian election in January .",O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O
politics_408.txt_428,""" She 's not a human shield Mr Blair , she 's a human being . """,O O O O O O O O B-POLITICIAN O O O O O O O O
tech_295.txt_318,"Special guest , singer Gwen Stefani , joined her on - stage to promote her own range of HP digital cameras which Ms Stefani has helped design and which are heavily influenced by Japanese youth culture .",O O O O B-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O B-MUSICIAN O O O O O O O O O O O O
entertainment_241.txt_0,Youssou N'Dour wins music prize,B-MUSICIAN I-MUSICIAN O O O
entertainment_241.txt_162,"Cuban pianist Bebo Valdes and flamenco singer Diego El Cigala , responsible for critically acclaimed album Lagrimas Negrasmusic , won an award in the "" boundary crossing "" category .",O O B-MUSICIAN I-MUSICIAN O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O O O O O O O O O O O O
entertainment_030.txt_193,Scrubs star Zach Braff was named best new director for his debut Garden State .,O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O
entertainment_380.txt_155,"Clint Eastwood 's Million Dollar Baby re - entered the charts at number eight , following its recent success at the Oscars .",B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O
business_008.txt_95,"Palaniappan Chidambaram , India 's finance minister , argued that these organisations need to take into account the changing world order , given India and China 's integration into the global economy .",B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
politics_149.txt_0,Blair returns from peace mission,B-POLITICIAN O O O O
entertainment_327.txt_0,Kidman wins photographer battle,B-ACTOR-DIRECTOR O O O
entertainment_327.txt_4,"

 Actress Nicole Kidman has won a restraining order against two paparazzi photographers who she claims left her fearful of leaving her Sydney mansion .",O O B-ACTOR-DIRECTOR I-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O
entertainment_327.txt_112,"According to local newspaper the Daily Telegraph , the incident involved paparazzi driving through red lights and on the wrong side of the road in pursuit of Kidman 's vehicle .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR O O O
entertainment_327.txt_192,""" Nicole would like to make it clear that she acknowledges she is a public figure and that reporters and photographers have a job to do and she respects that , "" said Kidman 's publicist Wendy Day .",O B-ACTOR-DIRECTOR O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ACTOR-DIRECTOR O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O
politics_208.txt_307,The offer comes as the Foreign Secretary Jack Straw arrives in Indonesia for a special summit meeting on the disaster .,O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O
entertainment_280.txt_180,"But you do n't know what the unexpected will be and as the musical director , it 's exciting , "" explains Conti .",O O O O O O O O O O O O O O O O O O O O O O B-MUSICIAN O
entertainment_365.txt_0,Tarantino to direct CSI episode,B-ACTOR-DIRECTOR O O O O
politics_327.txt_0,Goldsmith denies war advice claim,B-POLITICIAN O O O O
sport_330.txt_0,Campese berates whingeing England,B-ATHLETE O O O
