unique_id,summary,april_dates,evidence_sentences,confidence
politics_375.txt,"The level where people start paying inheritance tax will also rise from £263,000 to £275,000 from April. Mr Brown said he had met his financial ""golden rule"" with a £6bn surplus.","[""—-04""]","[""Other measures include equal tax status for same-sex couples and a deal with the Council of Mortgage Lenders to boost low cost home ownership. The level where people start paying inheritance tax will also rise from £263,000 to £275,000 from April. Mr Brown said he had met his financial \""golden rule\"" with a £6bn surplus and he said public borrowing would continue to fall over the next five years.""]",0.52
business_490.txt,"Tuesday's figures represent the first time that the unemployment rate has fallen to a single digit since 2001. The jobless rate average for the whole of 2004 was 11.5%, down from 12.3% in 2003.","[""—-04-20"", ""2004-04""]","[""Tuesday's figures represent the first time that the unemployment rate has fallen to a single digit since new measurement rules were introduced in 2001. The unemployment rate has been falling gradually since April 2004 when it reached a peak of 13.1%. The jobless rate average for the whole of 2004 was 11.5%, down from 12.3% in 2003, the IBGE said.""]",0.59
sport_057.txt,Kelly Holmes will not be competing in the 800m and 1500m at the Olympics. Holmes spoke to the BBC Sport website about her loneliness and her fight to stay fit.,"[""—-04""]","[""What now for Kelly Holmes? Last April, Kelly Holmes spoke to the BBC Sport website about her loneliness, her fight to stay fit and her decision not to contest both the 800m and 1500m at the Olympics. It just goes to show even the most meticulous and measured athletes cannot predict what fate has in store for them.""]",0.49
business_252.txt,"The group is to set up a new Access Services division. It will ensure equal access for rivals to the ""local loop"" The company also unveiled plans to cut the wholesale prices of its most popular broadband product.","[""—-04""]","[""The group is to set up a new Access Services division - with a separate board which would include independent members - to ensure equal access for rivals to the \""local loop\"", the copper wires that run between telephone exchanges and households. The company also unveiled plans to cut the wholesale prices of its most popular broadband product by about 8% from April in areas of high customer demand. It added that it plans to invest £10bn in the next five years to create a \""21st Century network\""."", ""It added that it plans to invest £10bn in the next five years to create a \""21st Century network\"". To meet the growing demand for greater bandwidth, BT said it would begin trials in April with a view to launching higher-speed services nationally from the autumn. Telecom analysts Ovum welcomed the move, saying BT had \""given a lot of ground\"".""]",0.59
business_241.txt,Talks are continuing on how to finance increased overseas development assistance. International Monetary Fund (IMF) is to look at a proposal to use its gold supplies to help the debt relief effort.,"[""—-04""]","[""But he added: \""They need to move quickly to turn their proposals into real change for the world's poorest. \""Two million children will die needlessly between now and the next meeting in April. If rich countries are going to keep their promises to tackle obscene poverty they need deliver - and deliver quickly.\"" Talks are continuing on how to finance increased overseas development assistance."", ""If rich countries are going to keep their promises to tackle obscene poverty they need deliver - and deliver quickly.\"" Talks are continuing on how to finance increased overseas development assistance. The International Monetary Fund (IMF) is to look at a proposal to use its gold supplies to help the debt relief effort when it meets in April. Mr Brown said G7 ministers had agreed to defer debt interest payments and repayments for some countries affected by the tsunami until the end of 2005.""]",0.56
entertainment_002.txt,Jarre joins fairytale celebration to mark bicentennial of Hans Christian Andersen's birth. Danish royal family will attend concert at Parken stadium on 2 April.,"[""—-04-02""]","[""Jarre joins fairytale celebration\n\nFrench musician Jean-Michel Jarre is to perform at a concert in Copenhagen to mark the bicentennial of the birth of writer Hans Christian Andersen. Denmark is holding a three-day celebration of the life of the fairy-tale author, with a concert at Parken stadium on 2 April. Other stars are expected to join the line-up in the coming months, and the Danish royal family will attend.""]",0.62
entertainment_259.txt,"West's solo career almost ended before it began after a near-fatal car crash left West with his jaw wired shut in 2002. The resulting song, Through the Wire, became West's first UK hit in April 2004.","[""—-04-20"", ""2004-04""]","[""But his solo career almost ended before it began after a near-fatal car crash left West with his jaw wired shut in 2002. The resulting song, Through the Wire, became West's first UK hit in April 2004 and subsequent album The College Dropout became a transatlantic success, both critically and commercially. West, 26, began rapping as a teenager at his Chicago school, inspired by the beats and rhymes of 1980s pioneers Run DMC.""]",0.62
business_310.txt,Worldwide futures orders for athletic footwear and gear of $4.9bn. That is 9.1% higher than such orders reported for the same period last year.,"[""—-04-20"", ""2005-04""]","[""Philip Knight, chairman and chief executive, said: \""Nike's second-quarter revenues and earnings per share reached all-time high levels as a result of solid performance across our global portfolio. \""Our businesses in the United States and emerging markets such as China, Russia and Turkey, combined with favourable European exchange rates, helped drive much of this growth.\"" He added: \""With the first half of our fiscal year in the books, we remain confident that our business strategy and consistent execution will allow us to deliver on our goals of healthy, profitable growth.\"" The firm reported worldwide futures orders for athletic footwear and gear, scheduled for delivery from December 2004 to April 2005, of $4.9bn. That is 9.1% higher than such orders reported for the same period last year.""]",0.62
entertainment_037.txt,"Hundreds of Dominicans have applied to be extras in the movie. About 3,000 Caribs live on the island of Dominica, which has a population of 70,000.","[""—-04""]","[""\""Our ancestors stood up against early European conquerors and because they stood up...we were labelled savages and cannibals up to today,\"" said Mr Williams. \""This cannot be perpetuated in movies.\"" Shooting on the sequel is expected to begin in April, with hundreds of Dominicans applying to be extras in the movie. About 3,000 Caribs live on the island of Dominica, which has a population of 70,000.""]",0.52
business_315.txt,"United's budget airline, Kingfisher Airlines, is to buy 10 A320 aircraft from Airbus and has the option to buy 20 more aircraft. The airline, the brainchild of Mr Mallya, expects to start its operations by the end of April.","[""—-04""]","[""Meanwhile, United's budget airline, Kingfisher Airlines, is to buy 10 A320 aircraft from Airbus and has the option to buy 20 more aircraft in a deal worth up to $1.8bn. The airline, the brainchild of Mr Mallya, expects to start its operations by the end of April. The new airline would break even in the very first year of operation, Mr Mallya said.""]",0.52
entertainment_314.txt,"Until 1954 they were held on a Thursday, then swapped around from Monday to Wednesday before Sunday night was settled on. They are now held at the Kodak Theatre, which opened in 2002 just across the road from its original home and holds 6,000 people.","[""—-04""]","[""They are now held at the Kodak Theatre, which opened in 2002 just across the road from its original home and holds 6,000 people. Until 1954 they were held on a Thursday, then swapped around from Monday to Wednesday before Sunday night was settled on, although the month swapped from May to April to March and now its current month of February. The first televised ceremony was in 1953, with Bob Hope as the MC.""]",0.52
tech_145.txt,"""Even successful artists don't think the lawsuits will benefit musicians,"" said report author Mary Madden. Pew Internet conducted an online survey of 2,755 musicians, songwriters and music publishers.","[""—-04-20"", ""2004-04""]","[""\""Even successful artists don't think the lawsuits will benefit musicians,\"" said report author Mary Madden. For part of the study, Pew Internet conducted an online survey of 2,755 musicians, songwriters and music publishers via musician membership organisations between March and April 2004. They ranged from full-time, successful musicians to artists struggling to make a living from their music.""]",0.62
sport_013.txt,The 29-year-old took part in the 2002 and 2003 London Marathons. He was edged out by Radcliffe in an epic New York Marathon contest last year. AK also dropped its harsh stance on three-time world cross country 4km champion Edith Masai.,"[""—-04""]","[""The 29-year-old took part in the 2002 and 2003 London Marathons and was edged out by Radcliffe in an epic New York Marathon contest last year. The two-time world half-marathon silver medallist will be back to challenge Radcliffe at this year's London event in April. AK also dropped its harsh stance on three-time world cross country 4km champion Edith Masai.""]",0.52
